,0
0,1131.828004501178
1,656.8283952175407
2,-9446.272554636816
3,-16334.807853570906
4,-1013.0788717326941
5,-4445.16248526657
6,3469.965714507387
7,-3505.5240817277227
8,-5604.6647082794225
9,1195.4047771265032
10,4908.20169078547
11,118.50242690858431
12,4634.733119827695
13,-5859.847167318105
14,12746.977336186683
15,8276.719515386736
16,8459.732691240846
17,-3631.1764242004137
18,4222.131083512795
19,6567.059472998022
20,-2387.5047580801183
21,668.1580688143149
22,618.2132248574635
23,2660.188279883936
24,-1609.9252714781323
25,-3030.9327784591587
26,1878.2958738243906
27,2871.769661416416
28,472.9868531815009
