,0
0,1202375.3970903184
1,1202906.8640811993
2,1207264.1743043705
3,1208793.4311286318
4,1204395.2675641442
5,1206997.8628724674
6,1210811.056563089
7,1209501.1772708355
8,1214942.0082448672
9,1216432.2941965614
10,1213763.6593343057
11,1213755.2142766675
12,1214969.1134286271
13,1216087.7201091521
14,1216742.2645726178
15,1216165.972166582
16,1215034.0969606717
17,1214427.5323912501
18,1210667.548869342
19,1207745.1828777236
20,1208127.178966397
21,1208616.88043675
22,1214069.3418102292
23,1217017.8621175503
24,1220464.5928058042
25,1220236.125293842
26,1223108.0946879825
27,1220571.1887725522
28,1220316.990937774
29,1226306.0113963212
