,0
0,1000000.0
1,1000103.0384112559
2,999993.1645172283
3,998789.0285694485
4,998606.9678768528
5,997292.4316044505
6,995522.686655789
7,995079.2633419664
8,992487.9463471052
9,991949.7081866679
10,993813.6624977218
11,986500.7676244192
12,989548.9105123298
13,987368.6502895307
14,988566.175535408
15,988701.9689545417
16,992374.5389623741
17,998003.9783145455
18,991349.3598187161
19,988524.9415352333
20,986697.1463158755
21,990650.5543828325
22,991748.729128268
23,993939.6533283553
24,1001684.5660693955
25,1001519.5220571532
26,990192.8440374585
27,993458.6609996526
28,991760.6687687053
29,992516.4174760364
30,977930.8834088261
31,977831.0693076942
32,974408.623427359
33,972176.132284278
34,964909.6895638577
35,974341.1849941602
36,968355.2191122704
37,962651.5420663832
38,959726.3633487928
39,941016.3467428392
40,942801.1057435225
41,955971.6562116933
42,946031.0788960271
43,947429.7452327369
44,942815.9961329732
45,958651.2024792142
46,960428.1392640423
47,972719.2552808434
48,974549.7779880124
49,974947.524643814
50,980592.6078874287
51,996906.4278937919
52,994659.7346941478
53,989955.0553212296
54,1010437.2058539841
55,999716.6648696217
56,1001768.0929407253
57,1011911.5516463169
58,1002846.561491707
59,990931.6324469621
60,997357.3710781372
61,1003592.787872525
62,1014378.6217873591
63,1013217.2136591008
64,1013615.4413432758
65,1007829.88625701
66,1011154.9627108548
67,1021200.0109228502
68,1028101.0851719066
69,1025542.2169019902
70,1025795.9346536965
71,1028689.8976665452
72,1025112.3491351729
73,1012038.0628196406
74,1016940.0789694027
75,1013912.2751760253
76,1022245.9457503769
77,1031187.7613239693
78,1022480.4256398192
79,1021635.3282145899
80,1034357.0044768689
81,1037766.7385691183
82,1040764.5656800745
83,1063836.029679384
84,1056771.914038316
85,1067695.409747607
86,1057570.3532514023
87,1075474.9298983307
88,1065938.73025299
89,1066155.5953981664
90,1054916.8048956415
91,1059300.9338278356
92,1054583.0805024144
93,1073990.475419181
94,1077288.832465756
95,1080096.0823447462
96,1070671.94507493
97,1073422.7813369497
98,1079324.85268934
99,1072809.425223571
100,1082960.7068207243
101,1094723.207865154
102,1103833.574703806
103,1102011.77143927
104,1093556.0670797245
105,1097078.8707212263
106,1090152.7707000587
107,1084553.122477984
108,1089221.3252929666
109,1090045.4529138252
110,1100189.96129669
111,1097584.003361259
112,1077602.1136531734
113,1072200.8921661337
114,1073717.760104356
115,1071846.9266334155
116,1076095.5043877615
117,1057099.1720947176
118,1059943.394270869
119,1065435.2861924726
120,1082701.8970554487
121,1082802.2837672355
122,1087256.1829294055
123,1080106.3410937057
124,1090774.4846830012
125,1071644.4136035629
126,1074229.7163018198
127,1059716.7333514348
128,1063415.2451904824
129,1072003.1931600007
130,1066880.5985503925
131,1073181.3140718937
132,1076732.5277717512
133,1100348.3928955297
134,1105368.5568068766
135,1106589.645183338
136,1124792.7415718902
137,1127028.7003710538
138,1125354.7035595102
139,1140972.61611827
140,1142217.0247060545
141,1146434.2841673587
142,1147585.8380235098
143,1138555.1793025958
144,1151976.5676534462
145,1158285.3147250363
146,1173255.1260362272
147,1167450.3258889685
148,1159243.5969184393
149,1153896.2045912007
150,1157235.5062031322
151,1154176.021412632
152,1148013.226707268
153,1155248.3865886447
154,1161690.1244900685
155,1156167.0235387566
156,1132363.5504551362
157,1143071.7498453062
158,1148888.6918207407
159,1158112.1033195525
160,1167405.3348581747
161,1167589.6493749057
162,1169041.7097437982
163,1165829.4563439337
164,1168083.132663596
165,1166117.1082789921
166,1157715.7351095104
167,1145877.678733217
168,1149516.6615591068
169,1158117.3649704838
170,1171360.8129932182
171,1185149.36931702
172,1189555.950384949
173,1196570.7523982546
174,1196864.3973663908
175,1199013.7719283928
176,1201366.611607127
177,1219335.1747504233
178,1216125.947865099
179,1215241.880169028
180,1210048.1242183829
181,1222016.3081605886
182,1212537.570968411
