,0
0,-216.15849764086306
1,-192.5684994305484
2,805.1146043847548
3,-995.362104077125
4,-1528.4198223877465
5,600.7803553467384
6,3517.675795129384
7,1548.969828588888
8,6538.1722108155955
9,760.8434736571508
10,-10000.93499858398
11,-1923.5286144408165
12,2010.9296750732465
13,-4012.126968163997
14,936.9574855591636
15,-4128.506448022556
16,2080.44974140625
17,-1312.9739306275733
18,-1342.3079550543334
19,2568.1612942673964
20,-1704.3860626805108
21,2353.8745903597446
22,-7121.764447536203
23,-5332.6521312104305
24,2394.872711202712
25,3363.554043256794
26,3347.2935162512586
27,2954.229692201363
28,713.8750035467092
