,0
0,1036337.360139488
1,1036514.5994233319
2,1044243.1630796837
3,1040742.2237961815
4,1046860.3642338328
5,1041927.635884266
6,1034065.711108851
7,1041348.2589186974
8,1035953.6846984862
9,1034531.8686932395
10,1044248.0590130539
11,1044537.2389905034
12,1039396.3035209496
13,1039548.1600495453
14,1036743.3197581384
15,1050964.1394247187
16,1064430.8314315218
17,1070727.1940926462
18,1073893.327870337
19,1081330.758084112
20,1086527.2135658078
21,1074390.9019038242
22,1076043.324847655
23,1077682.533078572
24,1068959.9689095356
25,1071299.6417986893
26,1067232.233214371
27,1066179.668864936
28,1064346.994866379
29,1064317.1864675682
