,0
0,1000000.0
1,999772.8801978789
2,1000250.3147526764
3,998162.3102247298
4,998679.1264632838
5,998454.7857488767
6,994094.5004593324
7,994845.6278582267
8,991012.568811924
9,991267.2626568647
10,998069.2102837722
11,993652.0373570165
12,996656.7081807991
13,998592.7654769854
14,1003782.437701022
15,1006067.5646645
16,1005646.6963124108
17,1008782.4484602557
18,1011831.8075017377
19,1014407.2655913207
20,1008229.1145595687
21,1012240.8340027218
22,1012794.5192551615
23,1021574.0651913822
24,1030394.3842584005
25,1025626.0710331409
26,1026102.8528359875
27,1033158.7439761921
28,1033764.987351564
29,1038813.3262586391
30,1040236.3393829551
31,1046406.8639170611
32,1035862.6884508552
33,1044161.532430501
34,1042645.8313324229
35,1026355.0546318716
36,1017794.6513485925
37,999090.4479096974
38,997472.2408210959
39,982615.9444097504
40,979666.5193813501
41,989102.9173820748
42,996255.0368795682
43,997239.3962349845
44,979501.9757289002
45,976076.2525179596
46,983323.9502478233
47,1000686.1901899963
48,1011828.0127556577
49,999617.7499362973
50,994309.1862465937
51,1010246.8827322298
52,1042722.6812506132
53,1045355.6683956361
54,1055685.63696444
55,1038961.2831239001
56,1042905.6303793784
57,1049322.4287540948
58,1031233.9897615784
59,1001763.1097882843
60,1001987.2137372461
61,1013025.9654233753
62,1021607.6366501116
63,1012270.6645067971
64,968491.6442572769
65,971074.4745553943
66,974540.4013474843
67,990969.5770378065
68,1019825.482005962
69,1013859.3593302532
70,1014622.4524289719
71,986830.0106939656
72,960137.5734341982
73,960332.1366936718
74,962297.4711398694
75,980004.3534566953
76,1009903.5242839105
77,1026318.8266484906
78,1017591.3602773357
79,991115.9041415172
80,1019642.9262882267
81,994966.6082276781
82,1005946.605069309
83,1060620.3123466375
84,1078656.597177078
85,1109031.0285390392
86,1108232.7208694038
87,1131541.3252821325
88,1123006.1983595658
89,1140068.9651405443
90,1111421.413921124
91,1117795.313641341
92,1112014.8344995496
93,1114893.5985573565
94,1145816.6723553024
95,1153653.8102513119
96,1163983.8725572776
97,1180547.362539761
98,1173824.3126523662
99,1185853.711047591
100,1217947.5276002083
101,1270196.3602775508
102,1272416.032457575
103,1302413.6951765453
104,1238162.8235375304
105,1285038.9753710285
106,1231731.1960533487
107,1207172.5990468704
108,1232493.7242610052
109,1229411.8831330468
110,1247257.8799891057
111,1204122.501507927
112,1130777.5275615836
113,1134797.343533541
114,1142745.562691618
115,1131638.3274709804
116,1134003.3902176865
117,1081935.8338086365
118,1092174.8725983417
119,1100890.6362575067
120,1120344.6847458985
121,1128658.6677226084
122,1111329.9192286318
123,1084410.814416499
124,1102552.6927128634
125,1061519.5176017566
126,1049922.1100839397
127,1028884.7157452516
128,1010004.2842662097
129,1013350.4470061417
130,998219.6471099698
131,1015496.1279848691
132,1023650.5876776244
133,1064706.6015830522
134,1071540.1175280132
135,1078046.62356153
136,1108749.3104202754
137,1100513.4706972544
138,1109514.0615953072
139,1125611.4175370347
140,1136463.6998955784
141,1148265.8812010165
142,1123761.0227693175
143,1085267.1987139483
144,1105695.3115616064
145,1144950.0425840518
146,1178080.9221364511
147,1204192.2103689332
148,1215436.5129101896
149,1199284.8113263482
150,1203090.8474150044
151,1184516.0808417606
152,1173325.025222597
153,1196586.4948063127
154,1236905.1486664077
155,1202213.6732716837
156,1133215.5650591129
157,1136016.4307277831
158,1127810.7683490738
159,1140450.9476297027
160,1166852.360843994
161,1163317.3800941797
162,1175808.6108608672
163,1177329.3358759126
164,1174886.3429769627
165,1210334.4154158905
166,1211027.6506942657
167,1213008.643393308
168,1251909.8422273507
169,1312493.3916873978
170,1328298.2618192483
171,1351138.5725432492
172,1344843.7765298353
173,1379751.282767227
174,1389171.87002475
175,1368824.1921232122
176,1416246.6700941718
177,1460474.9809366036
178,1440889.539244213
179,1416158.5106161656
180,1397555.474953246
181,1433263.4134315262
182,1399532.2260446271
183,1336400.5575233072
184,1312388.164668875
185,1333578.1833176722
186,1332855.4981486967
187,1376652.059408377
188,1336058.2678309688
189,1313714.0668814604
190,1368252.325437784
191,1438656.3847507054
192,1457835.1969352812
193,1489040.819778368
194,1480986.5802321893
195,1487642.7690219046
196,1488162.0174810514
197,1509857.1995989177
198,1462222.5818357652
199,1466867.2227429037
200,1497775.6651260993
201,1469193.360884444
202,1480433.1762813341
203,1481114.3096799292
204,1483367.3898540277
205,1421523.395673008
206,1372501.0550798362
207,1310035.1372738658
208,1373857.4424277209
209,1329039.6044032017
210,1337172.4308563075
211,1413551.8033177715
212,1431733.3867499726
213,1439956.187329683
214,1436732.4972107185
215,1470643.142095979
216,1443655.5089743813
217,1470764.959434579
218,1427647.386009515
219,1454165.1073085987
220,1547971.4317475082
221,1559205.5561519389
222,1566426.3422551067
223,1557785.5440588887
224,1552013.2327927807
225,1565604.5020928027
226,1560714.103157737
227,1593609.6976239565
228,1523567.2988963223
229,1542833.4691942865
230,1615996.0695192686
231,1630151.3676664506
232,1598184.9745509622
233,1555099.5615259283
234,1517614.8517922512
235,1456027.2863941109
236,1442898.8333714458
237,1441387.8896475676
238,1419961.4934506835
239,1442803.5175217928
240,1442926.2883390936
241,1469593.221959856
242,1403533.1387285138
243,1418631.3691885902
244,1396125.9629798427
245,1397270.993326288
246,1414291.115745743
247,1452243.1728541565
248,1453222.8120130724
249,1414431.3252979466
250,1389071.6572558782
251,1389285.8362079698
252,1462623.778346654
253,1490405.7623795343
254,1526335.4215190758
255,1526905.8024893638
256,1555104.7222116825
257,1561734.8711459523
258,1521788.8401682738
259,1561863.694366498
260,1566444.9665743199
261,1534649.3261041217
262,1577688.6261460334
263,1482910.7857290264
264,1420085.87648742
265,1379243.7086798153
266,1386164.8637783227
267,1344884.9484772412
268,1330745.614080475
269,1295511.7440073139
270,1287737.5120884324
271,1337709.5188215598
272,1343995.903325028
273,1315172.8433549919
274,1203979.1628149664
275,1191292.8130175525
276,1172427.8573041786
277,1217711.165038933
278,1201897.7480272206
279,1242287.076456916
280,1230219.6410242026
281,1287760.321839531
282,1281798.4584065645
283,1298194.6300082973
284,1304332.8099729454
285,1295475.0914788812
286,1257585.3581159546
287,1266405.6278855645
288,1278700.746927431
289,1311970.8002581012
290,1317278.0426756167
291,1361496.5045867127
292,1386808.807826418
293,1380079.947277407
294,1409750.2754320295
295,1399994.8711789008
296,1408968.6641369408
297,1384467.471973975
298,1399648.7402366775
299,1394924.717812455
300,1388470.1682049087
301,1424016.639572089
302,1430867.7413240264
303,1426108.0186983258
304,1379846.070853509
305,1376806.9160473363
306,1392332.6458507676
307,1350343.367291663
308,1346110.6053369574
309,1372878.9788675094
310,1417783.6905212859
311,1414016.5553612215
312,1427499.5229200781
313,1474480.0723609834
314,1497001.5157379194
315,1487038.0796037547
316,1497438.0717993872
317,1493023.2392849433
318,1524388.341865935
319,1504229.2886685452
320,1508163.9894033254
321,1534458.8705067195
322,1533727.5720078566
323,1460175.7862284512
324,1455607.5572899848
325,1469493.6840180752
326,1492533.2042397077
327,1485704.4516808758
328,1511115.628366394
329,1514007.5239188364
330,1486279.5809330288
331,1479769.9256708145
332,1524433.5373019965
333,1528846.2786772817
334,1544705.3473130048
335,1444682.4263831174
336,1393409.1993289196
337,1392964.5151418769
338,1448395.1218941163
339,1488272.2044575743
340,1560404.0313386987
341,1584130.1056110356
342,1566421.3759176226
343,1545121.3212203484
